X,Y,OBJECTID,State_numb,NHS_Rest_S,Highway_Ro,Mile_Post,Municipali,County,State,Latitude,Longitude,Number_of
-13686051.231,4963497.3226,146,4,Moon Lim Lee,Hwy 299,PM 56.8,Weaverville,Trinity,CA,40.66802,-122.94389,7
-13616354.2091,4981901.6897,147,4,O'brien Rest Area,I-5N,PM R31.1,Obrien,Shasta,CA,40.793304,-122.317791,5
-13568925.3155,4992431.8772,148,4,Hillcrest,Hwy 299,PM 60.6,Montgomery Creek,Shasta,CA,40.86488,-121.89173,4
-13753261.7093,4995147.3302,149,4,Francis B. Mathews,Hwy 299,PM 3.8,Salyer,Trinity,CA,40.883325,-123.547652,5
-13625322.3299,5000179.8013,150,4,Lakehead Rest Area,I-5S,PM R43.2,Lakehead,Shasta,CA,40.917495,-122.398353,18
-13820334.8195,5025943.2841,151,4,Trinidad Southbound,US101S,PM 105.2,Miranda,Humboldt,CA,41.09215,-124.15018,8
-13820404.9507,5030818.8225,152,4,Trinidad Northbound,US101N,PM 105.9,Miranda,Humboldt,CA,41.12515,-124.15081,7
-13631799.4545,5083088.5301,153,4,Weed Airport Southbound,I-5S MM,PM 25.6,Weed,Siskiyou,CA,41.477894,-122.456538,18
-13632516.5747,5085192.09,154,4,Weed Airport Northbound,I-5 N,PM R25.6,Weed,Siskiyou,CA,41.49205,-122.46298,15
-13599557.0998,5107603.568,155,4,Grass Lake,US 97,PM 21.8,Montague,Siskiyou,CA,41.642677,-122.1669,11
-13644530.5081,5138976.7082,156,4,Randolph C. Collier,I-5,PM 58.4,Henley,Siskiyou,CA,41.852945,-122.570903,39
-13775474.1779,5155992.57,157,4,Collier Tunnel,US199,PM 33.3,Patrick Creek,Del Norte,CA,41.9667,-123.74719,4
-11632325.0697,4470615.1408,158,5,El Moro Rest Area,I-25,18,Trinidad,Las Animas,CO,37.225713,-104.494954,20
-11422015.0557,4546092.7679,159,5,Gobbler's Knob Rest Area,US287,55,Lamar,Prowers,CO,37.763662,-102.605707,13
-11665959.0294,4574154.6656,160,5,Cuerno Verde-Colorado City,I-25N,74,Colorado City,Pueblo,CO,37.962677,-104.797093,10
-11360303.0922,4586390.6132,161,5,Holly Rest Area,US40,467,Holly,Prowers,CO,38.049286,-102.051339,6
-11644829.2542,4643493.5674,162,5,Pinon Rest Area Souhtbound,I-25S,111,Pueblo,Pueblo,CO,38.45212,-104.607281,20
-11646884.5459,4650300.2721,163,5,Pinon Rest Area Northbound,I-25,115,Pueblo,Pueblo,CO,38.499989,-104.625744,20
-12104477.3391,4743661.7963,164,5,Fruita Welcome Center,I-70,19,Fruita,Mesa,CO,39.153352,-108.73637,7
-11674956.4273,4754706.2046,165,5,Larkspur Chain Station,I-25S,170,Larkspur,Douglas,CO,39.230246,-104.877918,25
-11496051.534,4762181.1889,166,5,Arriba Rest Area,I-70,383,Arriba,Lincoln,CO,39.282241,-103.270788,9
-11384212.0699,4764243.446,167,5,Burlington Rest Area,I-70W,437,Burlington,Kit Carson,CO,39.296579,-102.266117,12
-11998726.3832,4797190.27,168,5,Rifle Rest Area,I-70,90,Rifle,Garfield,CO,39.525246,-107.786393,7
-11824097.3829,4797461.1602,169,5,Vail Pass Rest Area,I-70,190,Summit County,Summit,CO,39.527123,-106.217674,6
-11943649.284,4802226.675,170,5,No Name Rest Area,I-70 E,119,Glenwood Springs,Garfield,CO,39.560135,-107.291627,3
-11939282.5543,4802322.6957,171,5,Grizzly Creek Rest Area,I-70,121,Glenwood Springs,Garfield,CO,39.5608,-107.2524,7
-11964165.3548,4804005.4461,172,5,New Castle Parking Area,I-70,108,New Castle,Garfield,CO,39.572453,-107.475926,6
-11926725.8271,4810046.5008,173,5,Bair Ranch Rest Area,I-70,128,Glenwood Springs,Garfield,CO,39.614271,-107.139601,6
-11865615.3228,4814508.1975,174,5,Edwards Rest Area,I-70W,163,Avon,Eagle,CO,39.64514,-106.590636,11
-11919021.6278,4814747.0279,175,5,Dotsero Truck Parking,I-70,133,Dotsero,Eagle,CO,39.646792,-107.070393,48
-11846098.2331,4890266.0994,176,5,Wolford Reservoir Rest Area,US40,176,Grand County,Grand,CO,40.167179,-106.415311,6
-11583264.789,4901653.6278,177,5,Wiggins Rest Area,I-76,66,Wiggins,Morgan,CO,40.245305,-104.054238,30
-12072073.7938,4917875.0234,178,5,Elk Springs Rest Area,US40,37,Elk Springs,Moffat,CO,40.356439,-108.445284,4
-11952947.8011,4938768.0174,179,5,Hayden Rest Area,US40W,101,Hayden,Routt,CO,40.499309,-107.375157,6
-11689392.6728,4948270.613,180,5,Poudre Rest Area,I-25S,268,Fort Collins,Larimer,CO,40.564189,-105.007601,25
-11485933.4828,4956530.1727,181,5,Sterling Rest Area,I-76,125,Sterling,Logan,CO,40.620531,-103.179896,25
-8182465.9226,5022385.2443,182,6,CT Service Plaza- Darien SB,I-95S,10,Darien,Fairfield,CT,41.068057,-73.504342,70
-8177667.4959,5024217.4874,183,6,CT Service Plaza-Darien NB,I-95N,12,Darien,Fairfield,CT,41.080465,-73.461237,20
-8155205.5604,5033880.7313,184,6,CT Service Plaza- Fairfield NB,I-95N,21,Fairfield,Fairfield,CT,41.145866,-73.259458,29
-8155205.5604,5033880.7313,185,6,CT Service Plaza- Fairfield SB,I-95S,22,Fairfield,Fairfield,CT,41.145866,-73.259458,33
-8127265.5927,5048664.5468,186,6,CT Service Plaza- Milford NB,I-95N,40,Milford,New Haven,CT,41.245797,-73.008469,45
-8127435.1323,5048869.3066,187,6,CT Service Plaza- Milford SB,I-95S,41,Milford,New Haven,CT,41.24718,-73.009992,22
-8107846.0188,5054514.5673,188,6,CT Service Plaza- Branford NB,I-95N,53,Branford,New Haven,CT,41.285298,-72.83402,16
-8107806.2778,5054724.6361,189,6,CT Service Plaza- Branford SB,I-95S,54,Branford,New Haven,CT,41.286716,-72.833663,10
-8079582.5568,5055374.4266,190,6,CT Service Plaza- Madison NB,I-95N,61,Madison,New Haven,CT,41.291102,-72.580125,11
-8079582.5568,5055374.4266,191,6,CT Service Plaza- Madison SB,I-95S,62,Madison,New Haven,CT,41.291102,-72.580125,16
-8184183.5823,5070069.0456,192,6,CT Rest Area- Danbury EB,I-84E,2,Danbury,Fairfield,CT,41.39021,-73.519772,40
-7998491.8737,5074001.0706,193,6,CT Rest Area- North Stonington SB,I-95S,93,North Stonington,New London,CT,41.416704,-71.851675,34
-8101763.4105,5080448.14,194,6,CT Rest Area- Wallingford SB,1-91S,15,Wallingford,New Haven,CT,41.460121,-72.779379,59
-8028064.3417,5082407.4532,195,6,CT Service Plaza- Montville SB,I-395S,79A,Montville,New London,CT,41.47331,-72.117329,9
-8097668.3005,5094406.0037,196,6,CT Rest Area- Middletown NB,I-91N,23,Middletown,Middlesex,CT,41.554019,-72.742592,37
-8115696.158,5097256.3145,197,6,CT Rest Area- Southington EB,I-84E,28,Southington,Hartford,CT,41.573177,-72.904539,21
-8001421.58,5124199.8744,198,6,CT Service Plaza- Plainfield NB,I-395N,90,Plainfield,Windham,CT,41.753994,-71.877993,9
-8001378.9446,5124242.8497,199,6,CT Service Plaza- Plainfield SB,I-395S,89,Plainfield,Windham,CT,41.754282,-71.87761,9
-8048120.329,5144956.8885,200,6,CT Rest Area- Willington EB,I-84E,69,Willington,Tolland,CT,41.892947,-72.297495,7
-8048083.3709,5145139.9318,201,6,CT Rest Area- Willington WB,I-84W,70,Willington,Tolland,CT,41.894171,-72.297163,24
-8417701.5951,4768116.677,202,7,Smyrna Rest Area,US 13,NA,County,New Castle,DE,39.3235,-75.6175,28
-8425912.2981,4816962.2639,203,7,I-95 Delaware Service Plaza,I-95,NA,County,New Castle,DE,39.662113,-75.691258,65
-8970269.2834,2870169.2866,204,8,Plantation Key - Weight Station / Comfort Station,SR5/US1,86,NA,Monroe,FL,24.9546,-80.5813,4
-8948679.2022,2957245.3359,205,8,Snapper Creek Service Plaza,HEFT,19,Miami,Maimi-Dade,FL,25.661735,-80.387353,30
